Period;Value;HS_Commodity;Trade_Flow;Indicator;Reporter_Country;Partner_Country
Dec 2022;19;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Dec 2022;19;2604 - Nickel ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
May 2025;19;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
May 2025;19;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Dec 2022;19;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;SADC
Dec 2022;19;2604 - Nickel ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
Jul 2023;20;26 - Ores, slag and ash.;Total Exports;FOB Value (US$);United Republic of Tanzania;SADC
Apr 2023;20;2603 - Copper ores and concentrates.;Total Exports;FOB Value (US$);United Republic of Tanzania;SADC
Jul 2023;20;2603 - Copper ores and concentrates.;Total Exports;FOB Value (US$);United Republic of Tanzania;SADC
Apr 2021;20;2504 - Natural graphite.;Total Imports;Net Weight(Kg);Rwanda;SADC
Oct 2023;20;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Nov 2021;20;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
May 2024;20;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);DR Congo;SADC
May 2024;20;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Uganda;European Union All Countries
Apr 2023;20;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Uganda;SADC
Aug 2025;20;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Rwanda;SADC
Nov 2021;20;2601 - Iron ores and concentrates, including roasted iron pyrites.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Apr 2023;20;2601 - Iron ores and concentrates, including roasted iron pyrites.;Total Imports;Net Weight(Kg);Uganda;SADC
