Period,HS_Commodity,Trade_Flow,Reporter_Country,Partner_Country,CIF_Value_USD,FOB_Value_USD,Net_Weight_Kg,Quantity_Units,Unit_Value,HS_Level
Nov 2023,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,8223646166.0,100163980.0,110.0,82.10183107739846,4.0
Nov 2023,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1461637259.0,179068320.0,110.0,8.16245586600685,4.0
Oct 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,3713280.0,1968000.0,110.0,1.8868292682917245,4.0
Oct 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,150005.0,2880.0,110.0,52.08506942635936,4.0
Oct 2020,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,5995320014.0,0.0,29976600.0,110.0,200.00000046702428,4.0
Oct 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,61370002.0,47590.0,20.0,1289.5566715425605,4.0
Oct 2023,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,110001.0,5000.0,10000.0,22.00019999559996,4.0
Oct 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,400135.0,450.0,110.0,889.1888869129136,4.0
Oct 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,119951.0,50297.0,110.0,2.38485396738603,4.0
Oct 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,1411355112.0,517090.0,110.0,2729.41869306556,4.0
Oct 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,6643346.0,1209020.0,110.0,5.494818944264368,4.0
Oct 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1107224.0,1209020.0,110.0,0.9158028816720024,4.0
Oct 2025,2603 - Copper ores and concentrates.,Total Imports,DR Congo,ASEAN,0.0,0.0,110360.0,110.0,0.0,4.0
Oct 2025,2603 - Copper ores and concentrates.,Total Imports,DR Congo,European Union All Countries,0.0,0.0,137720.0,1000.0,0.0,4.0
Oct 2025,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,0.0,0.0,117790.0,965318.0,0.0,4.0
Sep 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,4159999.0,3000.0,80.0,1386.6663328711113,4.0
Sep 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,217299999.0,192660.0,110.0,1127.8936935475558,4.0
